温度,时间,,
16.9,2019/3/3 1:50,,
16.8,2019/3/3 1:40,,
16.9,2019/3/3 1:30,,
17,2019/3/3 1:20,,
17,2019/3/3 1:10,,
17,2019/3/3 1:00,,
17,2019/3/3 0:50,,
17.1,2019/3/3 0:40,,
17.1,2019/3/3 0:30,,
17.1,2019/3/3 0:20,,
17.1,2019/3/3 0:10,,
17.2,2019/3/3 0:00,,
17.2,2019/3/2 23:50,,
17.3,2019/3/2 23:40,,
17.3,2019/3/2 23:30,,
17.3,2019/3/2 23:20,,
17.3,2019/3/2 23:10,,
17.3,2019/3/2 23:00,,
17.4,2019/3/2 22:50,,
17.5,2019/3/2 22:40,,
17.5,2019/3/2 22:30,,
17.5,2019/3/2 22:20,,
17.5,2019/3/2 22:10,,
17.6,2019/3/2 22:00,,
17.6,2019/3/2 21:50,,
17.7,2019/3/2 21:40,,
17.8,2019/3/2 21:30,,
17.9,2019/3/2 21:20,,
18,2019/3/2 21:10,,
18.3,2019/3/2 21:00,,
17.9,2019/3/2 20:50,,
17.8,2019/3/2 20:40,,
17.9,2019/3/2 20:30,,
18,2019/3/2 20:20,,
18,2019/3/2 20:10,,
18.1,2019/3/2 20:00,,
18.1,2019/3/2 19:50,,
18.4,2019/3/2 19:40,,
18.6,2019/3/2 19:30,,
18.4,2019/3/2 19:20,,
18.5,2019/3/2 19:10,,
18.5,2019/3/2 19:00,,
18.5,2019/3/2 18:50,,
18.6,2019/3/2 18:40,,
18.5,2019/3/2 18:30,,
18.3,2019/3/2 18:20,,
18.1,2019/3/2 18:10,,
18.3,2019/3/2 18:00,,
17.8,2019/3/2 17:50,,
17.8,2019/3/2 17:40,,
18,2019/3/2 17:30,,
18,2019/3/2 17:20,,
17.9,2019/3/2 17:10,,
18,2019/3/2 17:00,,
18,2019/3/2 16:50,,
18,2019/3/2 16:40,,
18,2019/3/2 16:30,,
18,2019/3/2 16:20,,
18.1,2019/3/2 16:10,,
18.1,2019/3/2 16:00,,
18,2019/3/2 15:50,,
18.1,2019/3/2 15:40,,
18.3,2019/3/2 15:30,,
17.9,2019/3/2 15:20,,
17.9,2019/3/2 15:10,,
17.8,2019/3/2 15:00,,
17.8,2019/3/2 14:50,,
17.8,2019/3/2 14:40,,
17.8,2019/3/2 14:30,,
17.7,2019/3/2 14:20,,
17.7,2019/3/2 14:10,,
17.7,2019/3/2 14:00,,
17.7,2019/3/2 13:50,,
18,2019/3/2 13:40,,
18.3,2019/3/2 13:30,,
17.8,2019/3/2 13:20,,
18,2019/3/2 13:10,,
18.2,2019/3/2 13:00,,
18.2,2019/3/2 12:50,,
18.2,2019/3/2 12:40,,
17.8,2019/3/2 12:30,,
17.5,2019/3/2 12:20,,
17.8,2019/3/2 12:10,,
18,2019/3/2 12:00,,
17.6,2019/3/2 11:50,,
17.6,2019/3/2 11:40,,
17.6,2019/3/2 11:30,,
17.4,2019/3/2 11:20,,
17.2,2019/3/2 11:10,,
17.2,2019/3/2 11:00,,
17.2,2019/3/2 10:50,,
17.1,2019/3/2 10:40,,
16.9,2019/3/2 10:30,,
16.8,2019/3/2 10:20,,
16.8,2019/3/2 10:10,,
16.8,2019/3/2 10:00,,
16.8,2019/3/2 9:50,,
16.9,2019/3/2 9:40,,
17,2019/3/2 9:30,,
16.8,2019/3/2 9:20,,
17.2,2019/3/2 9:10,,
16.8,2019/3/2 9:00,,
16.9,2019/3/2 8:50,,
16.8,2019/3/2 8:40,,
16.7,2019/3/2 8:30,,
16.8,2019/3/2 8:20,,
16.8,2019/3/2 8:10,,
16.5,2019/3/2 8:00,,
16.1,2019/3/2 7:50,,
16,2019/3/2 7:40,,
15.8,2019/3/2 7:30,,
15.8,2019/3/2 7:20,,
15.8,2019/3/2 7:10,,
15.8,2019/3/2 7:00,,
15.8,2019/3/2 6:50,,
15.8,2019/3/2 6:40,,
15.9,2019/3/2 6:30,,
15.9,2019/3/2 6:20,,
16,2019/3/2 6:10,,
16,2019/3/2 6:00,,
16,2019/3/2 5:50,,
16,2019/3/2 5:40,,
16,2019/3/2 5:30,,
16,2019/3/2 5:20,,
16.1,2019/3/2 5:10,,
16.1,2019/3/2 5:00,,
16.1,2019/3/2 4:50,,
16.1,2019/3/2 4:40,,
16.1,2019/3/2 4:30,,
16.1,2019/3/2 4:20,,
16.2,2019/3/2 4:10,,
16.2,2019/3/2 4:00,,
16.3,2019/3/2 3:50,,
16.3,2019/3/2 3:40,,
16.3,2019/3/2 3:30,,
16.3,2019/3/2 3:20,,
16.3,2019/3/2 3:10,,
16.3,2019/3/2 3:00,,
16.4,2019/3/2 2:50,,
16.4,2019/3/2 2:40,,
16.5,2019/3/2 2:30,,
16.5,2019/3/2 2:20,,
16.5,2019/3/2 2:10,,
16.5,2019/3/2 2:00,,
16.6,2019/3/2 1:50,,
16.6,2019/3/2 1:40,,
16.6,2019/3/2 1:30,,
16.6,2019/3/2 1:20,,
16.7,2019/3/2 1:10,,
16.7,2019/3/2 1:00,,
16.7,2019/3/2 0:50,,
16.8,2019/3/2 0:40,,
16.8,2019/3/2 0:30,,
16.8,2019/3/2 0:20,,
16.8,2019/3/2 0:10,,
16.9,2019/3/2 0:00,,
16.9,2019/3/1 23:50,,
17,2019/3/1 23:40,,
17,2019/3/1 23:30,,
17,2019/3/1 23:20,,
17,2019/3/1 23:10,,
17.1,2019/3/1 23:00,,
17.1,2019/3/1 22:50,,
17.1,2019/3/1 22:40,,
17.1,2019/3/1 22:30,,
17.2,2019/3/1 22:20,,
17.3,2019/3/1 22:10,,
17.4,2019/3/1 22:00,,
17.4,2019/3/1 21:50,,
17.5,2019/3/1 21:40,,
17.5,2019/3/1 21:30,,
17.5,2019/3/1 21:20,,
17.5,2019/3/1 21:10,,
17.6,2019/3/1 21:00,,
17.7,2019/3/1 20:50,,
17.8,2019/3/1 20:40,,
18,2019/3/1 20:30,,
18.1,2019/3/1 20:20,,
18,2019/3/1 20:10,,
17.8,2019/3/1 20:00,,
18,2019/3/1 19:50,,
17.9,2019/3/1 19:40,,
17.7,2019/3/1 19:30,,
17.7,2019/3/1 19:20,,
17.8,2019/3/1 19:10,,
17.8,2019/3/1 19:00,,
17.8,2019/3/1 18:50,,
17.6,2019/3/1 18:40,,
17.6,2019/3/1 18:30,,
17.6,2019/3/1 18:20,,
17.6,2019/3/1 18:10,,
17.7,2019/3/1 18:00,,
17.7,2019/3/1 17:50,,
17.7,2019/3/1 17:40,,
17.8,2019/3/1 17:30,,
17.8,2019/3/1 17:20,,
17.8,2019/3/1 17:10,,
17.8,2019/3/1 17:00,,
17.8,2019/3/1 16:50,,
17.8,2019/3/1 16:40,,
17.9,2019/3/1 16:30,,
17.9,2019/3/1 16:20,,
18,2019/3/1 16:10,,
18,2019/3/1 16:00,,
18.1,2019/3/1 15:50,,
17.8,2019/3/1 15:40,,
17.9,2019/3/1 15:30,,
18.1,2019/3/1 15:20,,
18.3,2019/3/1 15:10,,
18.2,2019/3/1 15:00,,
18.2,2019/3/1 14:50,,
18.3,2019/3/1 14:40,,
17.8,2019/3/1 14:30,,
17.8,2019/3/1 14:20,,
17.6,2019/3/1 14:10,,
17.6,2019/3/1 14:00,,
17.5,2019/3/1 13:50,,
17.6,2019/3/1 13:40,,
17.5,2019/3/1 13:30,,
17.5,2019/3/1 13:20,,
17.5,2019/3/1 13:10,,
17.5,2019/3/1 13:00,,
17.6,2019/3/1 12:50,,
17.6,2019/3/1 12:40,,
17.7,2019/3/1 12:30,,
17.8,2019/3/1 12:20,,
17.8,2019/3/1 12:10,,
18,2019/3/1 12:00,,
18,2019/3/1 11:50,,
17.7,2019/3/1 11:40,,
17.6,2019/3/1 11:30,,
17.6,2019/3/1 11:20,,
17.5,2019/3/1 11:10,,
17.5,2019/3/1 11:00,,
17.5,2019/3/1 10:50,,
17.4,2019/3/1 10:40,,
17.3,2019/3/1 10:30,,
17.3,2019/3/1 10:20,,
17.3,2019/3/1 10:10,,
17.2,2019/3/1 10:00,,
17.1,2019/3/1 9:50,,
17.1,2019/3/1 9:40,,
17.1,2019/3/1 9:30,,
17.1,2019/3/1 9:20,,
17,2019/3/1 9:10,,
17,2019/3/1 9:00,,
16.3,2019/3/1 8:50,,
15.6,2019/3/1 8:40,,
15.6,2019/3/1 8:30,,
15.6,2019/3/1 8:20,,
15.8,2019/3/1 8:10,,
15.8,2019/3/1 8:00,,
15.6,2019/3/1 7:50,,
15.3,2019/3/1 7:40,,
15.3,2019/3/1 7:30,,
15.3,2019/3/1 7:20,,
15.4,2019/3/1 7:10,,
15.2,2019/3/1 7:00,,
15.2,2019/3/1 6:50,,
15.3,2019/3/1 6:40,,
15.3,2019/3/1 6:30,,
15.3,2019/3/1 6:20,,
15.3,2019/3/1 6:10,,
15.3,2019/3/1 6:00,,
15.4,2019/3/1 5:50,,
15.5,2019/3/1 5:40,,
15.4,2019/3/1 5:30,,
15.5,2019/3/1 5:20,,
15.5,2019/3/1 5:10,,
15.6,2019/3/1 5:00,,
15.6,2019/3/1 4:50,,
15.6,2019/3/1 4:40,,
15.6,2019/3/1 4:30,,
15.6,2019/3/1 4:20,,
15.6,2019/3/1 4:10,,
15.6,2019/3/1 4:00,,
15.7,2019/3/1 3:50,,
15.8,2019/3/1 3:40,,
15.8,2019/3/1 3:30,,
15.8,2019/3/1 3:20,,
15.9,2019/3/1 3:10,,
15.9,2019/3/1 3:00,,
15.9,2019/3/1 2:50,,
15.9,2019/3/1 2:40,,
15.9,2019/3/1 2:30,,
16,2019/3/1 2:20,,
16,2019/3/1 2:10,,
16,2019/3/1 2:00,,
16.1,2019/3/1 1:50,,
16.1,2019/3/1 1:40,,
16.1,2019/3/1 1:30,,
16.1,2019/3/1 1:20,,
16.1,2019/3/1 1:10,,
16.2,2019/3/1 1:00,,
16.2,2019/3/1 0:50,,
16.3,2019/3/1 0:40,,
16.3,2019/3/1 0:30,,
16.3,2019/3/1 0:20,,
16.3,2019/3/1 0:10,,
16.3,2019/3/1 0:00,,
16.4,2019/2/28 23:50,,
16.5,2019/2/28 23:40,,
16.5,2019/2/28 23:30,,
16.5,2019/2/28 23:20,,
16.5,2019/2/28 23:10,,
16.6,2019/2/28 23:00,,
16.6,2019/2/28 22:50,,
16.7,2019/2/28 22:40,,
16.8,2019/2/28 22:30,,
16.8,2019/2/28 22:20,,
16.8,2019/2/28 22:10,,
16.8,2019/2/28 22:00,,
17,2019/2/28 21:50,,
17,2019/2/28 21:40,,
17,2019/2/28 21:30,,
17.1,2019/2/28 21:20,,
17.1,2019/2/28 21:10,,
17.3,2019/2/28 21:00,,
17.3,2019/2/28 20:50,,
17.5,2019/2/28 20:40,,
17.6,2019/2/28 20:30,,
17.8,2019/2/28 20:20,,
18,2019/2/28 20:10,,
17.8,2019/2/28 20:00,,
17.8,2019/2/28 19:50,,
18,2019/2/28 19:40,,
18,2019/2/28 19:30,,
17.9,2019/2/28 19:20,,
17.8,2019/2/28 19:10,,
17.7,2019/2/28 19:00,,
17.8,2019/2/28 18:50,,
17.5,2019/2/28 18:40,,
17.3,2019/2/28 18:30,,
17.3,2019/2/28 18:20,,
17.6,2019/2/28 18:10,,
17.5,2019/2/28 18:00,,
17.3,2019/2/28 17:50,,
17.4,2019/2/28 17:40,,
17.4,2019/2/28 17:30,,
17.4,2019/2/28 17:20,,
17.4,2019/2/28 17:10,,
17.4,2019/2/28 17:00,,
17.5,2019/2/28 16:50,,
17.5,2019/2/28 16:40,,
17.5,2019/2/28 16:30,,
17.5,2019/2/28 16:20,,
17.5,2019/2/28 16:10,,
17.5,2019/2/28 16:00,,
17.5,2019/2/28 15:50,,
17.5,2019/2/28 15:40,,
17.6,2019/2/28 15:30,,
17.6,2019/2/28 15:20,,
17.6,2019/2/28 15:10,,
17.6,2019/2/28 15:00,,
17.6,2019/2/28 14:50,,
17.7,2019/2/28 14:40,,
17.7,2019/2/28 14:30,,
17.7,2019/2/28 14:20,,
17.7,2019/2/28 14:10,,
17.8,2019/2/28 14:00,,
17.8,2019/2/28 13:50,,
17.9,2019/2/28 13:40,,
17.9,2019/2/28 13:30,,
17.8,2019/2/28 13:20,,
17.8,2019/2/28 13:10,,
17.8,2019/2/28 13:00,,
18,2019/2/28 12:50,,
17.7,2019/2/28 12:40,,
17.3,2019/2/28 12:30,,
17,2019/2/28 12:20,,
16.9,2019/2/28 12:10,,
16.9,2019/2/28 12:00,,
16.8,2019/2/28 11:50,,
17,2019/2/28 11:40,,
17,2019/2/28 11:30,,
17,2019/2/28 11:20,,
16.6,2019/2/28 11:10,,
16.6,2019/2/28 11:00,,
16.5,2019/2/28 10:50,,
16.5,2019/2/28 10:40,,
16.4,2019/2/28 10:30,,
16.3,2019/2/28 10:20,,
16.3,2019/2/28 10:10,,
16.3,2019/2/28 10:00,,
16.1,2019/2/28 9:50,,
16.1,2019/2/28 9:40,,
16.1,2019/2/28 9:30,,
16.1,2019/2/28 9:20,,
16.1,2019/2/28 9:10,,
16,2019/2/28 9:00,,
16,2019/2/28 8:50,,
16,2019/2/28 8:40,,
16,2019/2/28 8:30,,
16,2019/2/28 8:20,,
15.8,2019/2/28 8:10,,
15.5,2019/2/28 8:00,,
15.5,2019/2/28 7:50,,
15,2019/2/28 7:40,,
15,2019/2/28 7:30,,
15,2019/2/28 7:20,,
15,2019/2/28 7:10,,
15,2019/2/28 7:00,,
15,2019/2/28 6:50,,
15.1,2019/2/28 6:40,,
15.1,2019/2/28 6:30,,
15.1,2019/2/28 6:20,,
15.1,2019/2/28 6:10,,
15.1,2019/2/28 6:00,,
15.1,2019/2/28 5:50,,
15.3,2019/2/28 5:40,,
15.3,2019/2/28 5:30,,
15.3,2019/2/28 5:20,,
15.3,2019/2/28 5:10,,
15.3,2019/2/28 5:00,,
15.3,2019/2/28 4:50,,
15.3,2019/2/28 4:40,,
15.4,2019/2/28 4:30,,
15.4,2019/2/28 4:20,,
15.5,2019/2/28 4:10,,
15.5,2019/2/28 4:00,,
15.5,2019/2/28 3:50,,
15.6,2019/2/28 3:40,,
15.6,2019/2/28 3:30,,
15.6,2019/2/28 3:20,,
15.6,2019/2/28 3:10,,
15.6,2019/2/28 3:00,,
15.6,2019/2/28 2:50,,
15.6,2019/2/28 2:40,,
15.6,2019/2/28 2:30,,
15.6,2019/2/28 2:20,,
15.6,2019/2/28 2:10,,
15.7,2019/2/28 2:00,,
15.8,2019/2/28 1:50,,
15.8,2019/2/28 1:40,,
15.9,2019/2/28 1:30,,
15.9,2019/2/28 1:20,,
15.9,2019/2/28 1:10,,
16,2019/2/28 1:00,,
16.1,2019/2/28 0:50,,
16.1,2019/2/28 0:40,,
16.1,2019/2/28 0:30,,
16.1,2019/2/28 0:20,,
16.1,2019/2/28 0:10,,
16.1,2019/2/28 0:00,,
16.1,2019/2/27 23:50,,
16.1,2019/2/27 23:40,,
16.2,2019/2/27 23:30,,
16.3,2019/2/27 23:20,,
16.3,2019/2/27 23:10,,
16.3,2019/2/27 23:00,,
16.5,2019/2/27 22:50,,
16.5,2019/2/27 22:40,,
16.5,2019/2/27 22:30,,
16.5,2019/2/27 22:20,,
16.6,2019/2/27 22:10,,
16.6,2019/2/27 22:00,,
16.7,2019/2/27 21:50,,
16.7,2019/2/27 21:40,,
16.8,2019/2/27 21:30,,
16.9,2019/2/27 21:20,,
17,2019/2/27 21:10,,
17,2019/2/27 21:00,,
17.1,2019/2/27 20:50,,
17.3,2019/2/27 20:40,,
17.5,2019/2/27 20:30,,
17.8,2019/2/27 20:20,,
17.2,2019/2/27 20:10,,
17.6,2019/2/27 20:00,,
18.1,2019/2/27 19:50,,
17.5,2019/2/27 19:40,,
17.6,2019/2/27 19:30,,
17.5,2019/2/27 19:20,,
17.6,2019/2/27 19:10,,
17.7,2019/2/27 19:00,,
17.5,2019/2/27 18:50,,
17.1,2019/2/27 18:40,,
17.1,2019/2/27 18:30,,
17.1,2019/2/27 18:20,,
17.1,2019/2/27 18:10,,
17.1,2019/2/27 18:00,,
17.1,2019/2/27 17:50,,
17.2,2019/2/27 17:40,,
17.3,2019/2/27 17:30,,
17.3,2019/2/27 17:20,,
17.3,2019/2/27 17:10,,
17.3,2019/2/27 17:00,,
17.3,2019/2/27 16:50,,
17.3,2019/2/27 16:40,,
17.3,2019/2/27 16:30,,
17.4,2019/2/27 16:20,,
17.3,2019/2/27 16:10,,
17.3,2019/2/27 16:00,,
17.3,2019/2/27 15:50,,
17.4,2019/2/27 15:40,,
17.3,2019/2/27 15:30,,
17.2,2019/2/27 15:20,,
17.1,2019/2/27 15:10,,
17.2,2019/2/27 15:00,,
17.2,2019/2/27 14:50,,
17.2,2019/2/27 14:40,,
17.3,2019/2/27 14:30,,
17.3,2019/2/27 14:20,,
17.4,2019/2/27 14:10,,
17.3,2019/2/27 14:00,,
17.3,2019/2/27 13:50,,
17.2,2019/2/27 13:40,,
17.2,2019/2/27 13:30,,
17.1,2019/2/27 13:20,,
17.1,2019/2/27 13:10,,
17.1,2019/2/27 13:00,,
17.2,2019/2/27 12:50,,
17.3,2019/2/27 12:40,,
17.4,2019/2/27 12:30,,
17.6,2019/2/27 12:20,,
17.5,2019/2/27 12:10,,
17.2,2019/2/27 12:00,,
17.3,2019/2/27 11:50,,
17.3,2019/2/27 11:40,,
17.3,2019/2/27 11:30,,
17.1,2019/2/27 11:20,,
17,2019/2/27 11:10,,
17,2019/2/27 11:00,,
17,2019/2/27 10:50,,
16.6,2019/2/27 10:40,,
16.5,2019/2/27 10:30,,
16.3,2019/2/27 10:20,,
16.5,2019/2/27 10:10,,
16.2,2019/2/27 10:00,,
16.5,2019/2/27 9:50,,
16.6,2019/2/27 9:40,,
16.5,2019/2/27 9:30,,
17,2019/2/27 9:20,,
17,2019/2/27 9:10,,
16.8,2019/2/27 9:00,,
15.6,2019/2/27 8:50,,
15.6,2019/2/27 8:40,,
15.7,2019/2/27 8:30,,
15.6,2019/2/27 8:20,,
15.6,2019/2/27 8:10,,
15.6,2019/2/27 8:00,,
15.5,2019/2/27 7:50,,
15.1,2019/2/27 7:40,,
14.8,2019/2/27 7:30,,
14.9,2019/2/27 7:20,,
15.1,2019/2/27 7:10,,
15.1,2019/2/27 7:00,,
15,2019/2/27 6:50,,
15.1,2019/2/27 6:40,,
15.1,2019/2/27 6:30,,
15.1,2019/2/27 6:20,,
15.1,2019/2/27 6:10,,
15.2,2019/2/27 6:00,,
15.3,2019/2/27 5:50,,
15.3,2019/2/27 5:40,,
15.3,2019/2/27 5:30,,
15.3,2019/2/27 5:20,,
15.3,2019/2/27 5:10,,
15.4,2019/2/27 5:00,,
15.4,2019/2/27 4:50,,
15.5,2019/2/27 4:40,,
15.5,2019/2/27 4:30,,
15.5,2019/2/27 4:20,,
15.5,2019/2/27 4:10,,
15.5,2019/2/27 4:00,,
15.6,2019/2/27 3:50,,
15.6,2019/2/27 3:40,,
15.6,2019/2/27 3:30,,
15.6,2019/2/27 3:20,,
15.6,2019/2/27 3:10,,
15.8,2019/2/27 3:00,,
15.8,2019/2/27 2:50,,
15.8,2019/2/27 2:40,,
15.8,2019/2/27 2:30,,
15.9,2019/2/27 2:20,,
16,2019/2/27 2:10,,
16,2019/2/27 2:00,,
16,2019/2/27 1:50,,
16,2019/2/27 1:40,,
16,2019/2/27 1:30,,
16,2019/2/27 1:20,,
16,2019/2/27 1:10,,
16.1,2019/2/27 1:00,,
16.1,2019/2/27 0:50,,
16.2,2019/2/27 0:40,,
16.1,2019/2/27 0:30,,
16.2,2019/2/27 0:20,,
16.2,2019/2/27 0:10,,
16.3,2019/2/27 0:00,,
16.2,2019/2/26 23:50,,
16.1,2019/2/26 23:40,,
16.3,2019/2/26 23:30,,
16.3,2019/2/26 23:20,,
16.3,2019/2/26 23:10,,
16.3,2019/2/26 23:00,,
16.3,2019/2/26 22:50,,
16.3,2019/2/26 22:40,,
16.3,2019/2/26 22:30,,
16.4,2019/2/26 22:20,,
16.5,2019/2/26 22:10,,
16.5,2019/2/26 22:00,,
16.5,2019/2/26 21:50,,
16.6,2019/2/26 21:40,,
16.6,2019/2/26 21:30,,
16.7,2019/2/26 21:20,,
16.7,2019/2/26 21:10,,
16.7,2019/2/26 21:00,,
16.8,2019/2/26 20:50,,
17,2019/2/26 20:40,,
17.1,2019/2/26 20:30,,
17.3,2019/2/26 20:20,,
17.7,2019/2/26 20:10,,
17.7,2019/2/26 20:00,,
17.8,2019/2/26 19:50,,
17.8,2019/2/26 19:40,,
17.4,2019/2/26 19:30,,
17.2,2019/2/26 19:20,,
17,2019/2/26 19:10,,
17.1,2019/2/26 19:00,,
17.3,2019/2/26 18:50,,
17.8,2019/2/26 18:40,,
19.4,2019/2/26 18:30,,
17.4,2019/2/26 18:22,,
17.4,2019/2/26 18:20,,
17.3,2019/2/26 18:10,,
17.3,2019/2/26 18:00,,
17.3,2019/2/26 17:50,,
17.3,2019/2/26 17:40,,
16.9,2019/2/26 17:30,,
16.9,2019/2/26 17:20,,
16.9,2019/2/26 17:10,,
17,2019/2/26 17:00,,
17,2019/2/26 16:50,,
17,2019/2/26 16:40,,
17.1,2019/2/26 16:30,,
17.3,2019/2/26 16:20,,
17.2,2019/2/26 16:10,,
17.2,2019/2/26 16:00,,
17.3,2019/2/26 15:50,,
17.3,2019/2/26 15:40,,
17.3,2019/2/26 15:30,,
17.1,2019/2/26 15:20,,
17.3,2019/2/26 15:10,,
17.4,2019/2/26 15:00,,
17.5,2019/2/26 14:50,,
17.6,2019/2/26 14:40,,
17.6,2019/2/26 14:30,,
17.8,2019/2/26 14:20,,
17.5,2019/2/26 14:10,,
16.9,2019/2/26 14:00,,
17,2019/2/26 13:50,,
17,2019/2/26 13:40,,
17.1,2019/2/26 13:30,,
17.1,2019/2/26 13:20,,
17.4,2019/2/26 13:10,,
16.9,2019/2/26 13:00,,
17.4,2019/2/26 12:50,,
17.4,2019/2/26 12:40,,
17.4,2019/2/26 12:30,,
17.3,2019/2/26 12:20,,
17.3,2019/2/26 12:10,,
16.8,2019/2/26 12:00,,
16.8,2019/2/26 11:50,,
16.6,2019/2/26 11:40,,
16.5,2019/2/26 11:30,,
16.6,2019/2/26 11:20,,
16.7,2019/2/26 11:10,,
16.6,2019/2/26 11:00,,
16.6,2019/2/26 10:50,,
16.8,2019/2/26 10:40,,
16.8,2019/2/26 10:30,,
16.8,2019/2/26 10:20,,
16.9,2019/2/26 10:10,,
16.6,2019/2/26 10:00,,
16.9,2019/2/26 9:50,,
17,2019/2/26 9:40,,
17,2019/2/26 9:30,,
17,2019/2/26 9:20,,
17.1,2019/2/26 9:10,,
17.5,2019/2/26 9:00,,
17.4,2019/2/26 8:50,,
17.3,2019/2/26 8:40,,
17.2,2019/2/26 8:30,,
17.5,2019/2/26 8:20,,
17.5,2019/2/26 8:10,,
16.8,2019/2/26 8:00,,
17.7,2019/2/26 7:50,,
17.5,2019/2/26 7:40,,
16.4,2019/2/26 7:30,,
16.9,2019/2/26 7:20,,
17.8,2019/2/26 7:10,,
17.8,2019/2/26 7:00,,
17.8,2019/2/26 6:50,,
17.8,2019/2/26 6:40,,
17.8,2019/2/26 6:30,,
17.8,2019/2/26 6:20,,
17.8,2019/2/26 6:10,,
17.8,2019/2/26 6:00,,
17.8,2019/2/26 5:50,,
17.8,2019/2/26 5:40,,
17.8,2019/2/26 5:30,,
17.8,2019/2/26 5:20,,
17.8,2019/2/26 5:10,,
17.8,2019/2/26 5:00,,
17.8,2019/2/26 4:50,,
17.8,2019/2/26 4:40,,
17.8,2019/2/26 4:30,,
17.8,2019/2/26 4:20,,
17.8,2019/2/26 4:10,,
17.8,2019/2/26 4:00,,
17.8,2019/2/26 3:50,,
17.8,2019/2/26 3:40,,
17.8,2019/2/26 3:30,,
17.8,2019/2/26 3:20,,
17.8,2019/2/26 3:10,,
17.8,2019/2/26 3:00,,
17.8,2019/2/26 2:50,,
17.8,2019/2/26 2:40,,
17.8,2019/2/26 2:30,,
17.8,2019/2/26 2:20,,
17.8,2019/2/26 2:10,,
17.8,2019/2/26 2:00,,
17.8,2019/2/26 1:50,,
17.8,2019/2/26 1:40,,
17.8,2019/2/26 1:30,,
17.8,2019/2/26 1:20,,
17.8,2019/2/26 1:10,,
17.8,2019/2/26 1:00,,
17.8,2019/2/26 0:50,,
17.8,2019/2/26 0:40,,
17.8,2019/2/26 0:30,,
17.8,2019/2/26 0:20,,
17.8,2019/2/26 0:10,,
17.8,2019/2/26 0:00,,
17.8,2019/2/25 23:50,,
17.8,2019/2/25 23:40,,
17.8,2019/2/25 23:30,,
17.8,2019/2/25 23:20,,
17.8,2019/2/25 23:10,,
17.8,2019/2/25 23:00,,
17.8,2019/2/25 22:50,,
17.8,2019/2/25 22:40,,
17.8,2019/2/25 22:30,,
17.8,2019/2/25 22:20,,
17.8,2019/2/25 22:10,,
17.8,2019/2/25 22:00,,
17.8,2019/2/25 21:50,,
17.8,2019/2/25 21:40,,
17.8,2019/2/25 21:30,,
17.8,2019/2/25 21:20,,
17.8,2019/2/25 21:10,,
17.8,2019/2/25 21:00,,
17.8,2019/2/25 20:50,,
17.8,2019/2/25 20:40,,
17.8,2019/2/25 20:30,,
17.8,2019/2/25 20:20,,
17.7,2019/2/25 20:10,,
17.5,2019/2/25 20:00,,
17.6,2019/2/25 19:50,,
17.7,2019/2/25 19:40,,
17.8,2019/2/25 19:30,,
17.9,2019/2/25 19:20,,
17.8,2019/2/25 19:10,,
17.9,2019/2/25 19:00,,
17.6,2019/2/25 18:50,,
17.6,2019/2/25 18:40,,
17.3,2019/2/25 18:30,,
17.3,2019/2/25 18:20,,
17.3,2019/2/25 18:10,,
17.3,2019/2/25 18:00,,
17.3,2019/2/25 17:50,,
17.2,2019/2/25 17:40,,
17.3,2019/2/25 17:30,,
17.3,2019/2/25 17:20,,
17.3,2019/2/25 17:10,,
17.3,2019/2/25 17:00,,
17.4,2019/2/25 16:50,,
17.5,2019/2/25 16:40,,
17.5,2019/2/25 16:30,,
17.5,2019/2/25 16:20,,
17.5,2019/2/25 16:10,,
17.5,2019/2/25 16:00,,
17.6,2019/2/25 15:50,,
17.6,2019/2/25 15:40,,
17.6,2019/2/25 15:30,,
17.6,2019/2/25 15:20,,
18,2019/2/25 15:10,,
18.2,2019/2/25 15:00,,
18.2,2019/2/25 14:50,,
18.2,2019/2/25 14:40,,
18.2,2019/2/25 14:30,,
18.1,2019/2/25 14:20,,
18.1,2019/2/25 14:10,,
18.2,2019/2/25 14:00,,
18.4,2019/2/25 13:50,,
18.3,2019/2/25 13:40,,
17.6,2019/2/25 13:30,,
17.5,2019/2/25 13:20,,
17.5,2019/2/25 13:10,,
17.4,2019/2/25 13:00,,
17.5,2019/2/25 12:50,,
17.7,2019/2/25 12:40,,
17.7,2019/2/25 12:30,,
17.6,2019/2/25 12:20,,
17.7,2019/2/25 12:10,,
17.2,2019/2/25 12:00,,
17.1,2019/2/25 11:50,,
17.1,2019/2/25 11:40,,
16.9,2019/2/25 11:30,,
16.6,2019/2/25 11:20,,
16.6,2019/2/25 11:10,,
16.5,2019/2/25 11:00,,
16.5,2019/2/25 10:50,,
16.5,2019/2/25 10:40,,
16.5,2019/2/25 10:30,,
16.3,2019/2/25 10:20,,
16.3,2019/2/25 10:10,,
16.4,2019/2/25 10:00,,
16.3,2019/2/25 9:50,,
16.3,2019/2/25 9:40,,
16.3,2019/2/25 9:30,,
16.3,2019/2/25 9:20,,
16.3,2019/2/25 9:10,,
16.3,2019/2/25 9:00,,
16.6,2019/2/25 8:50,,
17.1,2019/2/25 8:40,,
17.1,2019/2/25 8:30,,
16.8,2019/2/25 8:20,,
16.8,2019/2/25 8:10,,
16.6,2019/2/25 8:00,,
15.7,2019/2/25 7:50,,
15.5,2019/2/25 7:40,,
15.5,2019/2/25 7:30,,
15.4,2019/2/25 7:20,,
